Observation;Pauvrete;Urbanisation;DepensesPuEduc;PIB/hab ;AccElectricite
Soudan du Sud (2016);82.3;34.00;0.8;1119.7;4.6
Kenya (2016);36.1;26.10;17.4;1525.2;53.1
Libye (2016);33.3;78.80 ;8.1;7687.88;71.8
Ghana (2016);23.4;54.70;22.1;1972.0;79.3
Ouganda (2016);21.4;16.40;12.5;736.6;26.7
Zimbabwe (2017);70.7;32.24;20.9;1235.2;44.2
Afrique du Sud (2020);17.0;67.35;19.5;5655.9;84.4
Algérie (2020);23.0;73.73;16.5;3306.9;99.8
Maroc (2020);15.0;63.53;14.8;3058.7;100
Mali (2020);41.9;43.91;14.5;862.5;50.6
Allemagne (2018);09.8;77.31;11.2;47973.6;100
Danemark (2018);6.4;87.87;13.4;61591.9;100
Finlande (2018);6.5;85.38;11.7;49988.9;100
Irlande (2018);7.4;63.17;13.3;79107.6;100
Italie (2018);14.2;70.44;8.8;34622.2;100
Pologne (2018);9.8;60.06;12.0;15468.5;100
Espagne (2018);20.7;80.32;10.0;30364.6;100
France (2018);13.6;80.44;9.7;41592.8;100
Hongrie (2018);12.3;71.35;10.1;16427.4;100
Royaume-Uni (2018);18.6;83.40;13.3;43647.0 ;100
Afghanistan (2017);54.5;25.50;10.9;516.7;97.7
Chine (2020);16.0;61.43;10.5;46101.0;100
Corée du Sud (2016);14.4;81.41;20.6;29288.87;100
Turquie (2018);14.0;75.14;12.4;9454.3;100
Indonésie (2017);10.6;56.64;16.1;3837.6;98.1
Syrie (2020);83.0;55.48;19.2;1265.6;89.1
Inde (2018);80.0;34.93;16.6;1998.3;95.7
Kazakhstan (2020);5.3;57.67;14.1;9121.6;100
Fédération de Russie (2020);12.1;74.75;14.3;10162.0;100
Yémen (2020);80.0;37.91;15.1;631.7;73.8
Uruguay ( 2020);11.6;95.52;16.4;15418.8;100
Chili (2020);10.8;87.73;21.4;13220.6;100
Équateur (2020);33.0;64.17;11.5;5627.8;98.8
Argentine (2020);42.0;92.17;12.5;8585.7;100
Paraguay (2020);26.9;62.18;9.8;4967.7;100
Salvador (2020);26.2;73.44;13.1;3798.6;100
Brésil (2021);15.7;87.32;16.1;7518.8;100
Mexique (2020);43.9;80.73;16.6;8431.7;99.4
Haïti (2021);52.3;57.09;14.6;1814.7;46.9
Etats-Unis (2019);10.5;82.26;13.1;65094.8;100
